sei_recd,dead_lithium,crate,slope1,slope2,checkpoint
2.4e-07,0.0001,4.2,-103.29123168286714,-107.30846164952456,600
1.8e-07,0.0005,4.5,-77.47514581004644,-213.219537805176,400
1.2e-07,0.0005,4.5,-51.685386287081414,-215.627309931099,500
3e-07,0.001,4.2,-129.00111642497603,-247.1530102957642,500
1.8e-07,0.001,4.2,-77.53283074687367,-346.7902099492548,400
1.2e-07,0.0001,4.2,-51.709895249718585,-78.44504126530705,600
1.2e-07,0.00075,4.8,-51.67628924109824,-295.43241316776215,500
2.4e-07,0.001,4.2,-103.29123168286714,-260.75730604471215,500
1.8e-07,0.0001,4.2,-77.53283074687367,-87.47749699244966,700
1.8e-07,0.00075,4.8,-77.4610724164404,-280.66049820703046,400
3e-07,0.00075,4.8,-128.96100877148874,-214.76169710785695,500
2.4e-07,0.0005,4.5,-103.293724847231,-178.90680912078238,500
3e-07,0.0001,4.2,-129.00111642497603,-123.98332847536332,600
3e-07,0.0005,4.8,-128.96100877148874,-182.0338246457665,500
2.4e-07,0.00075,4.5,-103.293724847231,-220.06384151542767,500
1.8e-07,0.0005,4.8,-77.4610724164404,-213.2270893544064,400
1.2e-07,0.0005,4.8,-51.67628924109824,-215.6527972846156,500
2.4e-07,0.00025,4.2,-103.29123168286714,-121.06859918108448,700
1.2e-07,0.00075,4.5,-51.685386287081414,-257.03256850906354,600
3e-07,0.00025,4.2,-129.00111642497603,-160.57823189463693,400
1.8e-07,0.00025,4.2,-77.53283074687367,-129.86608720968462,500
2.4e-07,0.0005,4.8,-103.26266095719294,-162.67405544296844,600
3e-07,0.00075,4.5,-129.00087188651986,-194.49451311954743,600
1.2e-07,0.00025,4.2,-51.709895249718585,-153.32551322964073,400
1.8e-07,0.00075,4.5,-77.47514581004644,-190.53882156587764,700
1.8e-07,0.0005,4.5,-77.47514581004644,-151.27147454903067,700
2.4e-07,0.00075,4.8,-103.26266095719294,-196.86255116195815,600
3e-07,0.0005,4.5,-129.00087188651986,-167.54512955095004,600
1.2e-07,0.001,4.2,-51.709895249718585,-323.3843577857387,600
2.4e-07,0.0001,4.2,-103.29123168286714,-112.01846269288662,500
1.8e-07,0.001,4.2,-77.53283074687367,-229.37276203620627,700
1.2e-07,0.0005,4.5,-51.685386287081414,-189.40380726732985,600
3e-07,0.001,4.2,-129.00111642497603,-221.2433059738173,600
1.2e-07,0.0001,4.2,-51.709895249718585,-84.30651069233353,500
1.2e-07,0.00075,4.8,-51.67628924109824,-257.03611733456364,600
2.4e-07,0.001,4.2,-103.29123168286714,-230.7155611618317,600
3e-07,0.00075,4.8,-128.96100877148874,-194.48078382819924,600
2.4e-07,0.0005,4.5,-103.293724847231,-162.7147870092216,600
3e-07,0.0001,4.2,-129.00111642497603,-129.11080841493396,500
1.8e-07,0.0001,4.2,-77.53283074687367,-102.68040476510976,400
1.8e-07,0.00075,4.8,-77.4610724164404,-190.559549168956,700
1.8e-07,0.0005,4.8,-77.4610724164404,-151.26048449294328,700
3e-07,0.0005,4.8,-128.96100877148874,-167.5270044590782,600
2.4e-07,0.00075,4.5,-103.293724847231,-196.87226724085517,600
1.2e-07,0.0005,4.8,-51.67628924109824,-189.39987981558824,600
2.4e-07,0.00025,4.2,-103.29123168286714,-149.73725934046556,400
